UNIQUE CITIES,,,TOP 10 CITIES,,,,,TOP 5 CHAINS,,,
Bongaon,Bundi,,,,,,,,,,
Budaun,Burhanpur,,,,,,,,,,
Budhwal,Buxar,,,,,,,,,,
Bulandshahr,Central-goa,,,,,,,,,,
Buldana,Chakdaha,,,,,,,,,,
Bundi,Chalakkudy,,,,,,,,,,
Burhanpur,Chalisgaon,,,,,,,,,,
Buxar,Chandausi,,,,,,,,,,
Central-goa,Chandigarh,,,,,,,,,,
Chakdaha,Chandrapur,,,,,,,,,,
Chalakkudy,Changanassery,,,,,,,,,,
Chalisgaon,Chengannur,,,,,,,,,,
Chandausi,Chennai,,,,,,,,,,
Chandigarh,Cherthala,,,,,,,,,,
Chandrapur,Chhapra,,,,,,,,,,
Changanassery,Chhatarpur,,,,,,,,,,
Chengannur,Chhindwara,,,,,,,,,,
Chennai,Chidambaram,,,,,,,,,,
Cherthala,Chikhli,,,,,,,,,,
Chhapra,Chikkaballapur,,,,,,,,,,
Chhatarpur,Chikmagalur,,,,,,,,,,
Chhindwara,Chiplun,,,,,,,,,,
Chidambaram,Chitradurga,,,,,,,,,,
Chikhli,Chittoor,,,,,,,,,,
Chikkaballapur,Chittorgarh,,,,,,,,,,
Chikmagalur,Chopda,,,,,,,,,,
Chiplun,Churu,,,,,,,,,,
Chitradurga,Coimbatore,,,,,,,,,,
Chittoor,Cooch-behar,,,,,,,,,,
Chittorgarh,Cuddalore,,,,,,,,,,
Chopda,Cuttack,,,,,,,,,,
Churu,Dahod,,,,,,,,,,
Coimbatore,Daman,,,,,,,,,,
Cooch-behar,Darbhanga,,,,,,,,,,
Cuddalore,Darjeeling,,,,,,,,,,
Cuttack,Davanagere,,,,,,,,,,
Dahanu,Dehradun,,,,,,,,,,
Dahod,Dehri,,,,,,,,,,
Daman,Delhi,,,,,,,,,,
Darbhanga,Deoghar,,,,,,,,,,
Darjeeling,Dewas,,,,,,,,,,
Dausa,Dhanbad,,,,,,,,,,
Davanagere,Dhar,,,,,,,,,,
Dehradun,Dharamshala,,,,,,,,,,
Dehri,Dharmapuri,,,,,,,,,,
Delhi,Dharwad,,,,,,,,,,
Deoghar,Dhoraji,,,,,,,,,,
Dewas,Dhule,,,,,,,,,,
Dhanbad,Dibrugarh,,,,,,,,,,
Dhar,Dimapur,,,,,,,,,,
Dharamshala,Dindigul,,,,,,,,,,
Dharmapuri,Diu,,,,,,,,,,
Dharwad,Doddaballapura,,,,,,,,,,
Dhoraji,Duliajan,,,,,,,,,,
Dhule,Dumka,,,,,,,,,,
Dibrugarh,Durgapur,,,,,,,,,,
Dimapur,Eluru,,,,,,,,,,
Dindigul,Erode,,,,,,,,,,
Diu,Etawah,,,,,,,,,,
Doddaballapura,Faizabad,,,,,,,,,,
Duliajan,Faridabad,,,,,,,,,,
Dumka,Faridkot,,,,,,,,,,
Durgapur,Farrukhabad,,,,,,,,,,
Eluru,Fatehabad,,,,,,,,,,
Erode,Fatehgarh-sahib,,,,,,,,,,
Etawah,Fatehpur,,,,,,,,,,
Faizabad,Fazilka,,,,,,,,,,
Faridabad,Firozabad,,,,,,,,,,
Faridkot,Firozpur,,,,,,,,,,
Farrukhabad,Gadag-betigeri,,,,,,,,,,
Fatehabad,Gadwal,,,,,,,,,,
Fatehgarh-sahib,Gandhidham,,,,,,,,,,
Fatehpur,Gangapur-city,,,,,,,,,,
Fazilka,Gangtok,,,,,,,,,,
Firozabad,Gauriganj,,,,,,,,,,
Firozpur,Gaya,,,,,,,,,,
Gadag-betigeri,Giridih,,,,,,,,,,
Gadwal,Godhra,,,,,,,,,,
Gandhidham,Gokak,,,,,,,,,,
Gangapur-city,Golaghat,,,,,,,,,,
Gangtok,Gonda,,,,,,,,,,
Gauriganj,Gondal,,,,,,,,,,
Gaya,Gondia,,,,,,,,,,
Giridih,Gopalganj,,,,,,,,,,
Godhra,Gorakhpur,,,,,,,,,,
Gokak,Gudivada,,,,,,,,,,
Golaghat,Guna,,,,,,,,,,
Gonda,Guntakal,,,,,,,,,,
Gondal,Guntur,,,,,,,,,,
Gondia,Gurdaspur,,,,,,,,,,
Gopalganj,Gurgaon,,,,,,,,,,
Gorakhpur,Guwahati,,,,,,,,,,
Gudivada,Gwalior,,,,,,,,,,
Guna,Habra,,,,,,,,,,
Guntakal,Haldia,,,,,,,,,,
Guntur,Haldwani,,,,,,,,,,
Gurdaspur,Halol,,,,,,,,,,
Gurgaon,Hansi,,,,,,,,,,
Guwahati,Hanumangarh,,,,,,,,,,
Gwalior,Hapur,,,,,,,,,,
Habra,Hardoi,,,,,,,,,,
Haldia,Haridwar,,,,,,,,,,
Haldwani,Hassan,,,,,,,,,,
Halol,Himmatnagar,,,,,,,,,,
Hampi,Hindaun,,,,,,,,,,
Hansi,Hinganghat,,,,,,,,,,
Hanumangarh,Hisar,,,,,,,,,,
Hapur,Hoshangabad,,,,,,,,,,
Hardoi,Hoshiarpur,,,,,,,,,,
Haridwar,Hospet,,,,,,,,,,
Hassan,Hubli,,,,,,,,,,
Himmatnagar,Hyderabad,,,,,,,,,,
Hindaun, Nacharam & Malkajigiri,,,,,,,,,,
Hinganghat,Ichalkaranji,,,,,,,,,,
Hisar,Imphal,,,,,,,,,,
Hoshangabad,Indore,,,,,,,,,,
Hoshiarpur,Irinjalakuda,,,,,,,,,,
Hospet,Itarsi,,,,,,,,,,
Hubli,Jabalpur,,,,,,,,,,
Hyderabad,Jagdalpur,,,,,,,,,,
 Nacharam & Malkajigiri,Jagraon,,,,,,,,,,
Ichalkaranji,Jagtial,,,,,,,,,,
Imphal,Jahanabad,,,,,,,,,,
Indore,Jaipur,,,,,,,,,,
Irinjalakuda,Jalaun,,,,,,,,,,
Itanagar,Jalgaon,,,,,,,,,,
Itarsi,Jalpaiguri,,,,,,,,,,
Jabalpur,Jammu,,,,,,,,,,
Jagdalpur,Jamnagar,,,,,,,,,,
Jagraon,Jamshedpur,,,,,,,,,,
Jagtial,Jaunpur,,,,,,,,,,
Jahanabad,Jhalawar,,,,,,,,,,
Jaipur,Jhansi,,,,,,,,,,
Jalaun,Jhargram,,,,,,,,,,
Jalgaon,Jhunjhunu,,,,,,,,,,
Jalpaiguri,Jind,,,,,,,,,,
Jammu,Jodhpur,,,,,,,,,,
Jamnagar,Jorhat,,,,,,,,,,
Jamshedpur,Junagadh,,,,,,,,,,
Jaunpur,Kadapa,,,,,,,,,,
Jhalawar,Kadayanallur,,,,,,,,,,
Jhansi,Kadiri,,,,,,,,,,
Jhargram,Kaithal,,,,,,,,,,
Jhunjhunu,Kakinada,,,,,,,,,,
Jind,Kalaburagi,,,,,,,,,,
Jodhpur,Kalady,,,,,,,,,,
Jorhat,Kamareddy,,,,,,,,,,
Junagadh,Kanchrapara,,,,,,,,,,
Kadapa,Kannauj,,,,,,,,,,
Kadayanallur,Kannur,,,,,,,,,,
Kadiri,Kanpur,,,,,,,,,,
Kaithal,Kanyakumari,,,,,,,,,,
Kakinada,Kapurthala,,,,,,,,,,
Kalaburagi,Karad,,,,,,,,,,
Kalady,Karaikkudi,,,,,,,,,,
Kamareddy,Karimnagar,,,,,,,,,,
Kanchrapara,Karnal,,,,,,,,,,
Kannauj,Karunagappaly,,,,,,,,,,
Kannur,Karur,,,,,,,,,,
Kanpur,Karwar,,,,,,,,,,
Kanyakumari,Kasaragod,,,,,,,,,,
Kapurthala,Kashipur,,,,,,,,,,
Karad,Katihar,,,,,,,,,,
Karaikkudi,Katni,,,,,,,,,,
Karimnagar,Kavali,,,,,,,,,,
Karnal,Kayamkulam,,,,,,,,,,
Karunagappaly,Kendujhar,,,,,,,,,,
Karur,Khamgaon,,,,,,,,,,
Karwar,Khammam,,,,,,,,,,
Kasaragod,Khandwa,,,,,,,,,,
Kashipur,Khanna,,,,,,,,,,
Katihar,Kharagpur,,,,,,,,,,
Katni,Kishanganj,,,,,,,,,,
Kavali,Kishangarh,,,,,,,,,,
Kayamkulam,Kochi,,,,,,,,,,
Kendujhar,Kodaikanal,,,,,,,,,,
Khamgaon,Kolar,,,,,,,,,,
Khammam,Kolhapur,,,,,,,,,,
Khandwa,Kolkata,,,,,,,,,,
Khanna,Kollam,,,,,,,,,,
Kharagpur,Kopargaon,,,,,,,,,,
Kishanganj,Koppal,,,,,,,,,,
Kishangarh,Korba,,,,,,,,,,
Kochi,Kota,,,,,,,,,,
Kodaikanal,Kotdwar,,,,,,,,,,
Kohima,Kothagudem,,,,,,,,,,
Kolar,Kothamanagalam,,,,,,,,,,
Kolhapur,Kottakkal,,,,,,,,,,
Kolkata,Kottarakkara,,,,,,,,,,
Kollam,Kottayam,,,,,,,,,,
Kopargaon,Kovilpatti,,,,,,,,,,
Koppal,Kozhikode,,,,,,,,,,
Korba,Krishnagiri,,,,,,,,,,
Kota,Krishnanagar,,,,,,,,,,
Kotdwar,Kumarakom,,,,,,,,,,
Kothagudem,Kumbakonam,,,,,,,,,,
Kothamanagalam,Kumta,,,,,,,,,,
Kottakkal,Kundapura,,,,,,,,,,
Kottarakkara,Kunnamkullam,,,,,,,,,,
Kottayam,Kurnool,,,,,,,,,,
Kovilpatti,Kurukshetra,,,,,,,,,,
Kozhikode,Lakhimpur,,,,,,,,,,
Krishnagiri,Lalitpur,,,,,,,,,,
Krishnanagar,Latur,,,,,,,,,,
Kumarakom,Lonavala,,,,,,,,,,
Kumbakonam,Lonavla,,,,,,,,,,
Kumta,Lucknow,,,,,,,,,,
Kundapura,Ludhiana,,,,,,,,,,
Kunnamkullam,Machilipatnam,,,,,,,,,,
Kurnool,Madanapalle,,,,,,,,,,
Kurukshetra,Madhubani,,,,,,,,,,
Lakhimpur,Madikeri,,,,,,,,,,
Lalitpur,Madurai,,,,,,,,,,
Latur,Mahbubnagar,,,,,,,,,,
Lonavala,Malappuram,,,,,,,,,,
Lonavla,Malda,,,,,,,,,,
Lucknow,Malegaon,,,,,,,,,,
Ludhiana,Malout,,,,,,,,,,
Machilipatnam,Mancherial,,,,,,,,,,
Madanapalle,Mandi-dabwali,,,,,,,,,,
Madhubani,Mandsaur,,,,,,,,,,
Madikeri,Mandya,,,,,,,,,,
Madurai,Mangaluru,,,,,,,,,,
Mahbubnagar,Manipal,,,,,,,,,,
Malappuram,Manjeri,,,,,,,,,,
Malda,Mansa,,,,,,,,,,
Malegaon,Markapur,,,,,,,,,,
Malout,Mathura,,,,,,,,,,
Manali,Maunath-bhanjan,,,,,,,,,,
Mancherial,Mayiladuthurai,,,,,,,,,,
Mandi-dabwali,Medinipur,,,,,,,,,,
Mandi-gobindgarh,Meerut,,,,,,,,,,
Mandsaur,Mehsana,,,,,,,,,,
Mandya,Miryalaguda,,,,,,,,,,
Mangaluru,Mirzapur,,,,,,,,,,
Manipal,Modinagar,,,,,,,,,,
Manjeri,Moga,,,,,,,,,,
Mansa,Moodbidri,,,,,,,,,,
Markapur,Moradabad,,,,,,,,,,
Mathura,Morbi,,,,,,,,,,
Maunath-bhanjan,Morena,,,,,,,,,,
Mayiladuthurai,Motihari,,,,,,,,,,
Medinipur,Mughalsarai,,,,,,,,,,
Meerut,Muktsar,,,,,,,,,,
Mehsana,Mumbai,,,,,,,,,,
Miryalaguda,Munger,,,,,,,,,,
Mirzapur,Murshidabad,,,,,,,,,,
Modinagar,Mussoorie,,,,,,,,,,
Moga,Muvattupuzha,,,,,,,,,,
Moodbidri,Muzaffarnagar,,,,,,,,,,
Moradabad,Muzaffarpur,,,,,,,,,,
Morbi,Mysore,,,,,,,,,,
Morena,Nabadwip,,,,,,,,,,
Motihari,Nadiad,,,,,,,,,,
Mount-abu,Nagaon,,,,,,,,,,
Mughalsarai,Nagapattinam,,,,,,,,,,
Muktsar,Nagda,,,,,,,,,,
Mumbai,Nagercoil,,,,,,,,,,
Munger,Nagpur,,,,,,,,,,
Murshidabad,Nainital,,,,,,,,,,
Mussoorie,Nalgonda,,,,,,,,,,
Muvattupuzha,Namakkal,,,,,,,,,,
Muzaffarnagar,Nanded,,,,,,,,,,
Muzaffarpur,Nandurbar,,,,,,,,,,
Mysore,Nandyal,,,,,,,,,,
Nabadwip,Nangal,,,,,,,,,,
Nadiad,Naraingarh,,,,,,,,,,
Nagaon,Narasaraopet,,,,,,,,,,
Nagapattinam,Narnaul,,,,,,,,,,
Nagda,Narsinghpur,,,,,,,,,,
Nagercoil,Navsari,,,,,,,,,,
Nagpur,Neemuch,,,,,,,,,,
Naharlagun,Nellore,,,,,,,,,,
Nainital,Neyveli,,,,,,,,,,
Nalgonda,Nirmal,,,,,,,,,,
Namakkal,Nizamabad,,,,,,,,,,
Nanded,Noida,,,,,,,,,,
Nandurbar,Noida-1,,,,,,,,,,
Nandyal,North-goa,,,,,,,,,,
Nangal,Ongole,,,,,,,,,,
Naraingarh,Ooty,,,,,,,,,,
Narasaraopet,Orai,,,,,,,,,,
Narnaul,Osmanabad,,,,,,,,,,
Narsinghpur,Pala,,,,,,,,,,
Navsari,Palakkad,,,,,,,,,,
Neemuch,Palampur,,,,,,,,,,
Nellore,Palani,,,,,,,,,,
Neyveli,Palanpur,,,,,,,,,,
Nipani,Pali,,,,,,,,,,
Nirmal,Panipat,,,,,,,,,,
Nizamabad,Parbhani,,,,,,,,,,
Noida,Pathankot,,,,,,,,,,
Noida-1,Patiala,,,,,,,,,,
North-goa,Patna,,,,,,,,,,
Ongole,Perinthalmanna,,,,,,,,,,
Ooty,Phagwara,,,,,,,,,,
Orai,Pilibhit,,,,,,,,,,
Osmanabad,Pondicherry,,,,,,,,,,
Pala,Porbandar,,,,,,,,,,
Palakkad,Proddatur,,,,,,,,,,
Palampur,Pudukkottai,,,,,,,,,,
Palani,Pune,,,,,,,,,,
Palanpur,Puri,,,,,,,,,,
Pali,Purnea,,,,,,,,,,
Panipat,Purulia,,,,,,,,,,
Parbhani,Pusad,,,,,,,,,,
Pathankot,Rae-bareli,,,,,,,,,,
Patiala,Raghunathpur,,,,,,,,,,
Patna,Raichur,,,,,,,,,,
Perinthalmanna,Raiganj,,,,,,,,,,
Phagwara,Raigarh,,,,,,,,,,
Pilibhit,Raipur,,,,,,,,,,
Pondicherry,Rajahmundry,,,,,,,,,,
Porbandar,Rajapalayam,,,,,,,,,,
Proddatur,Rajkot,,,,,,,,,,
Pudukkottai,Rajnandgaon,,,,,,,,,,
Pune,Rajsamand,,,,,,,,,,
Puri,Ramagundam,,,,,,,,,,
